ID,Text,Comment
Calloatti.NaturalResourcesTweaks.ForestTool.Title,"Plantar árvores aleatórias",
Calloatti.NaturalResourcesTweaks.ForestTool.Description,"Planta árvores aleatórias em um padrão aleatório.",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Title,"Padrão de corte",
Calloatti.NaturalResourcesTweaks.WoodcuttingPatternTool.Description,"Percorrer padrões de seleção.",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Title,"Escopo de seleção",
Calloatti.NaturalResourcesTweaks.WoodcuttingScopeTool.Description,"Alternar Manual vs. Mapa inteiro.",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Title,"Nível de seleção",
Calloatti.NaturalResourcesTweaks.WoodcuttingLevelTool.Description,"Alternar seleção Simples vs. Multinível.",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Title,"Tipo de árvore",
Calloatti.NaturalResourcesTweaks.WoodcuttingTreeTypeTool.Description,"Alternar Todas as árvores vs. Apenas árvores mortas.",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Title,"Padrão de plantio",
Calloatti.NaturalResourcesTweaks.PlantingPatternTool.Description,"Clique para alternar para o próximo padrão.",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Title,"Modo replantar",
Calloatti.NaturalResourcesTweaks.PlantingReplantTool.Description,"Alternar replantar sobre objetos existentes vs. comportamento de bloqueio original.",
